ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1801307	9.87e-32	1.53e-34	-1.27e+01	67.562985	-9.61e-01	300193030	TNFSF10	tumor necrosis factor superfamily member 10
ILMN_1769520	1.38e-31	2.18e-34	-1.27e+01	67.215486	-9.25e-01	332078505	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1686664	1.50e-31	2.39e-34	-1.27e+01	67.123605	-1.45	205277384	MT2A	metallothionein 2A
ILMN_3251545	1.79e-31	2.91e-34	-1.27e+01	66.931711	-9.34e-01	306966144	CHMP5	charged multivesicular body protein 5
ILMN_1795181	1.91e-31	3.13e-34	-1.27e+01	66.858534	-1.62	222831594	DDX60	DEXD/H-box helicase 60
ILMN_1781373	2.63e-31	4.38e-34	-1.26e+01	66.52847	-1.42	395393979	IFIH1	interferon induced with helicase C domain 1
ILMN_1745374	3.19e-31	5.38e-34	-1.26e+01	66.325116	-1.24	306922357	IFI35	interferon induced protein 35
ILMN_1724333	3.29e-31	5.64e-34	-1.26e+01	66.280286	-1.08	961513294	TOR1B	torsin family 1 member B
ILMN_1670305	6.18e-31	1.07e-33	-1.26e+01	65.64615	-2.24	73858569	SERPING1	serpin family G member 1
ILMN_1776777	6.23e-31	1.09e-33	-1.26e+01	65.626139	-7.01e-01	301601652	ADAR	adenosine deaminase, RNA specific
ILMN_1705241	1.06e-30	1.89e-33	-1.25e+01	65.087037	-1.07	112293286	TDRD7	tudor domain containing 7
ILMN_1673352	2.60e-30	4.69e-33	-1.24e+01	64.192733	-5.55e-01	151101190	IFITM2	interferon induced transmembrane protein 2
ILMN_1701621	2.72e-30	4.97e-33	-1.24e+01	64.13643	-1.21	153791312	SCO2	SCO2 cytochrome c oxidase assembly protein
ILMN_2317751	3.02e-30	5.58e-33	-1.24e+01	64.022082	-9.90e-01	115430228	REC8	REC8 meiotic recombination protein
ILMN_1657612	4.37e-30	8.18e-33	1.24e+01	63.646219	6.89e-01	NA		
ILMN_2371724	7.33e-30	1.39e-32	-1.23e+01	63.123776	-1.36	296317301	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
ILMN_1785646	1.06e-29	2.03e-32	1.23e+01	62.752402	4.28e-01	527317416	PMP22	peripheral myelin protein 22
ILMN_2349061	1.16e-29	2.25e-32	-1.23e+01	62.649094	-1.53	98985817	IRF7	interferon regulatory factor 7
ILMN_1726591	1.17e-29	2.30e-32	-1.23e+01	62.629528	-1.02	62953111	CARD16	caspase recruitment domain family member 16
ILMN_1678422	2.32e-29	4.61e-32	-1.22e+01	61.942659	-1.68	149408121	DHX58	DEXH-box helicase 58
ILMN_2141482	2.48e-29	4.98e-32	1.22e+01	61.868039	2.30e-01	318037587	SERPINF1	serpin family F member 1
ILMN_2262288	3.22e-29	6.54e-32	1.22e+01	61.598569	7.65e-01	83656774	EEF1G	eukaryotic translation elongation factor 1 gamma
ILMN_1745471	3.60e-29	7.40e-32	-1.22e+01	61.477589	-6.53e-01	82734235	IRF9	interferon regulatory factor 9
ILMN_2390586	4.47e-29	9.28e-32	-1.21e+01	61.254073	-9.63e-01	122939207	SP100	SP100 nuclear antigen
ILMN_1730284	8.74e-29	1.85e-31	1.21e+01	60.577398	2.48e-01	205277360	DSC1	desmocollin 1
ILMN_1732296	8.74e-29	1.86e-31	1.21e+01	60.572441	1.58	345199309	ID3	inhibitor of DNA binding 3, HLH protein
ILMN_3240838	8.81e-29	1.89e-31	1.21e+01	60.553759	6.76e-01	258547138	SLC25A6	solute carrier family 25 member 6
ILMN_1724533	1.14e-28	2.48e-31	-1.21e+01	60.28869	-8.65e-01	307775406	LY96	lymphocyte antigen 96
ILMN_1767377	1.19e-28	2.61e-31	-1.20e+01	60.238058	-1.39	NA		
ILMN_1683678	2.22e-28	4.91e-31	-1.20e+01	59.614643	-1.96	154426252	SPATS2L	spermatogenesis associated serine rich 2 like
ILMN_2415144	2.39e-28	5.35e-31	-1.20e+01	59.530547	-7.12e-01	190343007	SP110	SP110 nuclear body protein
ILMN_1766054	2.93e-28	6.63e-31	-1.20e+01	59.318919	-1.09	315013575	ABCA1	ATP binding cassette subfamily A member 1
ILMN_1694398	2.96e-28	6.75e-31	1.20e+01	59.300541	7.12e-01	83656778	EIF3F	eukaryotic translation initiation factor 3 subunit F
ILMN_2185675	3.02e-28	7.01e-31	1.20e+01	59.263848	1.03	994317495	FAM159A	family with sequence similarity 159 member A
ILMN_1680937	3.02e-28	7.04e-31	-1.20e+01	59.259274	-1.12	21166388	HIST1H2BC	histone cluster 1, H2bc
ILMN_1659077	3.20e-28	7.52e-31	1.19e+01	59.195258	1.11	58331233	CD40LG	CD40 ligand
ILMN_1709333	5.53e-28	1.32e-30	-1.19e+01	58.643657	-1.75	74229018	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_3281599	5.53e-28	1.33e-30	1.19e+01	58.636814	7.01e-01	NA		
ILMN_1655497	8.29e-28	2.01e-30	1.19e+01	58.228811	7.19e-01	664806018	EIF4B	eukaryotic translation initiation factor 4B
ILMN_1777325	9.62e-28	2.35e-30	-1.18e+01	58.073502	-8.23e-01	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1704972	1.42e-27	3.50e-30	-1.18e+01	57.681215	-1.10	283046693	TRIM5	tripartite motif containing 5
ILMN_2148785	1.88e-27	4.68e-30	-1.18e+01	57.394808	-1.34	166706902	GBP1	guanylate binding protein 1
ILMN_1755843	1.99e-27	5.00e-30	-1.18e+01	57.329897	-1.52	301601600	SLC26A8	solute carrier family 26 member 8
ILMN_2109708	2.80e-27	7.10e-30	-1.17e+01	56.985219	-6.51e-01	384229046	TYMP	thymidine phosphorylase
ILMN_1680437	3.04e-27	7.78e-30	1.17e+01	56.895267	7.24e-01	NA		
ILMN_1712155	3.72e-27	9.60e-30	1.17e+01	56.687881	5.78e-01	992319632	RPL6	ribosomal protein L6
ILMN_2370573	4.75e-27	1.24e-29	-1.17e+01	56.438722	-1.82	378925605	XAF1	XIAP associated factor 1
ILMN_3240740	6.09e-27	1.60e-29	1.17e+01	56.185727	6.48e-01	339275829	EIF3L	eukaryotic translation initiation factor 3 subunit L
ILMN_2173975	7.36e-27	1.95e-29	-1.16e+01	55.991579	-1.85	54607028	RTP4	receptor transporter protein 4
ILMN_1677122	7.42e-27	1.98e-29	1.16e+01	55.974821	9.17e-01	1012443716	FAM168B	family with sequence similarity 168 member B
ILMN_3282436	8.05e-27	2.17e-29	1.16e+01	55.886754	7.88e-01	NA		
ILMN_1701455	1.05e-26	2.86e-29	-1.16e+01	55.615176	-1.26	209915567	FBXO6	F-box protein 6
ILMN_1896455	1.26e-26	3.46e-29	-1.16e+01	55.425675	-1.18	27842734		
ILMN_1718558	1.74e-26	4.82e-29	-1.15e+01	55.10044	-1.19	733214993	PARP12	poly(ADP-ribose) polymerase family member 12
ILMN_1654639	2.27e-26	6.33e-29	-1.15e+01	54.833109	-1.47	61563741	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
ILMN_3217172	2.64e-26	7.40e-29	1.15e+01	54.678363	6.52e-01	NA		
ILMN_2079386	3.57e-26	1.01e-28	1.15e+01	54.37278	8.38e-01	48255919	RPL22	ribosomal protein L22
ILMN_1706015	4.44e-26	1.27e-28	1.15e+01	54.149268	9.41e-01	45333897	FAM43A	family with sequence similarity 43 member A
ILMN_1752285	4.59e-26	1.32e-28	1.15e+01	54.108071	6.98e-01	332205903	RPL4	ribosomal protein L4
ILMN_3236367	5.27e-26	1.53e-28	1.14e+01	53.96584	8.64e-01	210147456	IFFO2	intermediate filament family orphan 2
ILMN_1792689	7.25e-26	2.12e-28	-1.14e+01	53.643355	-8.17e-01	21396481	HIST1H2AC	histone cluster 1, H2ac
ILMN_3239181	7.91e-26	2.33e-28	-1.14e+01	53.550374	-7.20e-01	436408727	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein
ILMN_3284584	8.00e-26	2.38e-28	1.14e+01	53.531452	8.90e-01	NA		
ILMN_1756439	8.82e-26	2.64e-28	1.14e+01	53.428234	9.93e-01	224465186	SCRN1	secernin 1
ILMN_1733998	1.14e-25	3.45e-28	-1.14e+01	53.163794	-1.20	NA		
ILMN_2087060	1.14e-25	3.46e-28	1.14e+01	53.161898	5.65e-01	409971398	TOMM7	translocase of outer mitochondrial membrane 7
ILMN_2319994	1.25e-25	3.82e-28	1.13e+01	53.063112	7.44e-01	76496471	RPL3	ribosomal protein L3
ILMN_1762747	3.33e-25	1.03e-27	1.12e+01	52.09297	6.32e-01	358356393	RPL15	ribosomal protein L15
ILMN_3263694	4.16e-25	1.29e-27	1.12e+01	51.864703	9.81e-01	NA		
ILMN_3239629	5.05e-25	1.58e-27	1.12e+01	51.667359	8.36e-01	NA		
ILMN_1813455	5.11e-25	1.61e-27	-1.12e+01	51.64934	-7.99e-01	190343005	SP110	SP110 nuclear body protein
ILMN_1747903	5.88e-25	1.87e-27	1.12e+01	51.504287	1.07e-01	217035104	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
ILMN_1655611	1.07e-24	3.43e-27	1.11e+01	50.904614	4.28e-01	301171528	TSHZ2	teashirt zinc finger homeobox 2
ILMN_2320964	1.25e-24	4.01e-27	-1.11e+01	50.750987	-7.03e-01	301601655	ADAR	adenosine deaminase, RNA specific
ILMN_2326509	1.35e-24	4.38e-27	-1.11e+01	50.664045	-6.38e-01	380254454	CASP1	caspase 1
ILMN_1658247	1.57e-24	5.13e-27	-1.11e+01	50.509868	-1.93	992319651	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_3219806	1.77e-24	5.82e-27	-1.11e+01	50.385432	-6.61e-01	NA		
ILMN_1739847	1.79e-24	5.91e-27	1.11e+01	50.369237	5.28e-01	83367070	EIF3D	eukaryotic translation initiation factor 3 subunit D
ILMN_2404665	1.94e-24	6.45e-27	-1.11e+01	50.283818	-1.02	283046697	TRIM5	tripartite motif containing 5
ILMN_1859584	2.11e-24	7.07e-27	-1.11e+01	50.193913	-1.18	10439674	LOC101930164	uncharacterized LOC101930164
ILMN_1814305	2.21e-24	7.48e-27	-1.10e+01	50.138871	-9.44e-01	300863103	SAMD9	sterile alpha motif domain containing 9
ILMN_3201445	2.28e-24	7.77e-27	1.10e+01	50.100581	6.37e-01	NA		
ILMN_2248970	2.61e-24	8.93e-27	-1.10e+01	49.963943	-1.67	74229020	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1678833	2.85e-24	9.83e-27	-1.10e+01	49.869796	-1.02	53759124	CCR1	C-C motif chemokine receptor 1
ILMN_1701114	3.48e-24	1.21e-26	-1.10e+01	49.666314	-1.32	166706902	GBP1	guanylate binding protein 1
ILMN_1691156	3.61e-24	1.26e-26	-1.10e+01	49.624771	-1.18	71274112	MT1A	metallothionein 1A
ILMN_1732534	4.25e-24	1.50e-26	-1.10e+01	49.457194	-8.13e-01	306966144	CHMP5	charged multivesicular body protein 5
ILMN_3283573	5.26e-24	1.86e-26	1.10e+01	49.242645	5.70e-01	NA		
ILMN_2387742	5.30e-24	1.89e-26	1.10e+01	49.227287	1.95e-01	58761495	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2
ILMN_2094166	6.52e-24	2.34e-26	-1.09e+01	49.017945	-8.56e-01	306966144	CHMP5	charged multivesicular body protein 5
ILMN_3242900	8.63e-24	3.11e-26	-1.09e+01	48.736541	-8.43e-01	106775677	HIST2H2AA4	histone cluster 2, H2aa4
ILMN_1738992	9.20e-24	3.34e-26	-1.09e+01	48.666714	-6.22e-01	4505226	MNDA	myeloid cell nuclear differentiation antigen
ILMN_1795933	1.05e-23	3.85e-26	1.09e+01	48.527872	9.49e-01	961513281	CHMP7	charged multivesicular body protein 7
ILMN_3227811	1.08e-23	3.97e-26	1.09e+01	48.497068	1.26	NA		
ILMN_1694432	1.73e-23	6.40e-26	1.08e+01	48.027104	8.84e-01	399498488	CRIP2	cysteine rich protein 2
ILMN_2352121	1.77e-23	6.60e-26	-1.08e+01	47.998117	-8.05e-01	380862357	NT5C3A	5'-nucleotidase, cytosolic IIIA
ILMN_3294335	2.31e-23	8.65e-26	1.08e+01	47.732079	6.05e-01	NA		
ILMN_2318725	2.61e-23	9.82e-26	1.08e+01	47.606674	6.89e-01	83376129	EEF1B2	eukaryotic translation elongation factor 1 beta 2
ILMN_1664330	2.64e-23	9.99e-26	-1.08e+01	47.589704	-1.28	296317298	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
ILMN_1763080	2.86e-23	1.09e-25	1.08e+01	47.505232	5.20e-01	441478303	QARS	glutaminyl-tRNA synthetase
ILMN_3211132	3.63e-23	1.39e-25	1.08e+01	47.262796	8.10e-01	NA		
ILMN_1776723	3.65e-23	1.41e-25	-1.08e+01	47.25317	-6.52e-01	1002623474	PHF11	PHD finger protein 11
ILMN_1695598	3.79e-23	1.47e-25	1.07e+01	47.209364	6.86e-01	NA		
ILMN_1751692	4.11e-23	1.61e-25	1.07e+01	47.123441	8.18e-01	115494999	ZNF17	zinc finger protein 17
ILMN_1732328	4.25e-23	1.67e-25	1.07e+01	47.086476	6.44e-01	NA		
ILMN_1774077	4.40e-23	1.74e-25	-1.07e+01	47.043871	-5.60e-01	520975408	GBP2	guanylate binding protein 2
ILMN_1865764	4.40e-23	1.75e-25	1.07e+01	47.04056	6.67e-01	22209057	ZMAT3	zinc finger matrin-type 3
ILMN_1780334	5.07e-23	2.03e-25	-1.07e+01	46.894833	-8.27e-01	22095339	KCNJ2	potassium voltage-gated channel subfamily J member 2
ILMN_1738383	5.35e-23	2.15e-25	1.07e+01	46.836627	5.21e-01	83656775	EEF2	eukaryotic translation elongation factor 2
ILMN_1691053	6.09e-23	2.46e-25	1.07e+01	46.703736	1.07	NA		
ILMN_3304130	6.54e-23	2.66e-25	1.07e+01	46.627425	7.43e-01	NA		
ILMN_1653466	7.93e-23	3.24e-25	-1.07e+01	46.432621	-1.79	215599500	HES4	hes family bHLH transcription factor 4
ILMN_2386818	9.05e-23	3.72e-25	1.06e+01	46.298181	7.18e-01	586946378	URGCP	upregulator of cell proliferation
ILMN_1719205	1.14e-22	4.73e-25	1.06e+01	46.062188	8.40e-01	215272338	FBL	fibrillarin
ILMN_1707312	1.17e-22	4.85e-25	-1.06e+01	46.037707	-9.50e-01	52630428	NFIL3	nuclear factor, interleukin 3 regulated
ILMN_3248069	1.26e-22	5.25e-25	1.06e+01	45.959772	6.13e-01	NA		
ILMN_3208056	1.26e-22	5.29e-25	1.06e+01	45.950738	6.40e-01	NA		
ILMN_2178775	1.32e-22	5.58e-25	1.06e+01	45.899233	1.76e-01	289547715	ZNF585B	zinc finger protein 585B
ILMN_3283155	1.76e-22	7.49e-25	1.06e+01	45.610336	6.46e-01	NA		
ILMN_3205162	1.84e-22	7.86e-25	1.06e+01	45.562436	8.27e-01	NA		
ILMN_3262025	2.04e-22	8.77e-25	1.06e+01	45.454856	5.90e-01	NA		
ILMN_1745112	2.32e-22	1.00e-24	1.05e+01	45.326107	1.19	296080737	FAM102A	family with sequence similarity 102 member A
ILMN_1783753	2.65e-22	1.15e-24	1.05e+01	45.188652	7.56e-01	379030591	TXNDC12	thioredoxin domain containing 12
ILMN_3276990	2.75e-22	1.20e-24	1.05e+01	45.148808	6.58e-01	NA		
ILMN_1676924	3.16e-22	1.39e-24	1.05e+01	45.004576	7.71e-01	166362722	CD247	CD247 molecule
ILMN_1695246	3.48e-22	1.53e-24	-1.05e+01	44.906983	-1.35	300863121	KLHDC8B	kelch domain containing 8B
ILMN_3280565	3.54e-22	1.57e-24	1.05e+01	44.88446	8.56e-01	NA		
ILMN_1798706	3.69e-22	1.64e-24	1.05e+01	44.838961	9.93e-01	194473709	GPR183	G protein-coupled receptor 183
ILMN_2143795	3.75e-22	1.68e-24	-1.05e+01	44.817982	-6.17e-01	NA		
ILMN_3181538	3.91e-22	1.76e-24	-1.05e+01	44.770872	-1.10	270309171	C10orf105	chromosome 10 open reading frame 105
ILMN_1772387	5.12e-22	2.32e-24	-1.05e+01	44.500896	-1.23	974005300	TLR2	toll like receptor 2
ILMN_1813625	5.88e-22	2.67e-24	-1.04e+01	44.360474	-7.42e-01	68160936	TRIM25	tripartite motif containing 25
ILMN_1676984	6.22e-22	2.84e-24	-1.04e+01	44.3	-8.78e-01	304282232	DDIT3	DNA damage inducible transcript 3
ILMN_1713807	7.23e-22	3.32e-24	1.04e+01	44.147283	1.04	573014776	MAN1C1	mannosidase alpha class 1C member 1
ILMN_1749244	7.33e-22	3.38e-24	-1.04e+01	44.129492	-5.32e-01	725503308	LYRM1	LYR motif containing 1
ILMN_2091454	7.86e-22	3.64e-24	-1.04e+01	44.055213	-1.14	94538363	HBM	hemoglobin subunit mu
ILMN_2256359	8.47e-22	3.95e-24	1.04e+01	43.976706	5.80e-01	662236824	ZNF823	zinc finger protein 823
ILMN_2168217	8.96e-22	4.20e-24	1.04e+01	43.916819	1.09	194473709	GPR183	G protein-coupled receptor 183
ILMN_1672022	9.19e-22	4.32e-24	1.04e+01	43.887603	7.31e-01	751557654	EPHA4	EPH receptor A4
ILMN_1670695	9.35e-22	4.42e-24	1.04e+01	43.865821	9.37e-01	635574576	BACH2	BTB domain and CNC homolog 2
ILMN_3227912	1.26e-21	5.98e-24	1.04e+01	43.568736	4.75e-01	NA		
ILMN_1733276	1.33e-21	6.34e-24	-1.04e+01	43.510873	-8.10e-01	532164731	CYSLTR1	cysteinyl leukotriene receptor 1
ILMN_1690921	1.39e-21	6.65e-24	-1.03e+01	43.464047	-7.77e-01	291219920	STAT2	signal transducer and activator of transcription 2
ILMN_1663347	1.44e-21	6.96e-24	-1.03e+01	43.419892	-2.83	215422389	OTOF	otoferlin
ILMN_1685538	1.51e-21	7.31e-24	1.03e+01	43.371583	8.10e-01	NA		
ILMN_1714433	1.56e-21	7.60e-24	1.03e+01	43.333243	6.56e-01	392841221	MARCKSL1	MARCKS like 1
ILMN_1764851	1.60e-21	7.82e-24	1.03e+01	43.304693	7.60e-01	41327714	TP53RK	TP53 regulating kinase
ILMN_3202591	1.62e-21	7.93e-24	1.03e+01	43.291513	1.13	NA		
ILMN_1814011	1.64e-21	8.08e-24	1.03e+01	43.272867	7.76e-01	NA		
ILMN_1712487	1.70e-21	8.43e-24	1.03e+01	43.231599	8.88e-01	56699484	EIF2D	eukaryotic translation initiation factor 2D
ILMN_2262044	2.36e-21	1.17e-23	-1.03e+01	42.906436	-8.81e-01	961513280	PARP10	poly(ADP-ribose) polymerase family member 10
ILMN_1699772	2.62e-21	1.31e-23	-1.03e+01	42.798807	-7.46e-01	215276977	RRAGD	Ras related GTP binding D
ILMN_2087080	2.65e-21	1.33e-23	1.03e+01	42.782679	7.08e-01	71772259	RPL5	ribosomal protein L5
